case,lift_coeff
geo_LHC148_AoA_14,1.772369146347046
geo_LHC045_AoA_18,1.6960108280181885
geo_LHC049_AoA_8,1.4273900985717773
geo_LHC096_AoA_10,1.618333339691162
geo_LHC113_AoA_8,1.507021188735962
geo_LHC179_AoA_10,1.561252236366272
geo_LHC178_AoA_12,1.7924538850784302
geo_LHC071_AoA_6,1.2533172369003296
geo_LHC173_AoA_16,1.7868084907531738
geo_LHC127_AoA_6,1.3015729188919067
geo_LHC034_AoA_22,1.7752108573913574
geo_LHC178_AoA_4,1.2230154275894165
geo_LHC173_AoA_4,1.1108888387680054
geo_LHC154_AoA_16,1.7863787412643433
geo_LHC018_AoA_4,1.1775962114334106
geo_LHC011_AoA_22,1.6769533157348633
geo_LHC017_AoA_18,1.6842986345291138
geo_LHC179_AoA_22,1.72371506690979
geo_LHC045_AoA_10,1.660331130027771
