case,lift_force
geo_LHC148_AoA_14,2598266.0
geo_LHC045_AoA_18,2486326.0
geo_LHC049_AoA_8,2092532.0
geo_LHC096_AoA_10,2372452.0
geo_LHC113_AoA_8,2209270.0
geo_LHC179_AoA_10,2288772.0
geo_LHC178_AoA_12,2627710.0
geo_LHC071_AoA_6,1837344.0
geo_LHC173_AoA_16,2619434.0
geo_LHC127_AoA_6,1908086.0
geo_LHC034_AoA_22,2602432.0
geo_LHC178_AoA_4,1792922.0
geo_LHC173_AoA_4,1628546.0
geo_LHC154_AoA_16,2618804.0
geo_LHC018_AoA_4,1726338.0
geo_LHC011_AoA_22,2458388.0
geo_LHC017_AoA_18,2469156.0
geo_LHC179_AoA_22,2526940.0
geo_LHC045_AoA_10,2434020.0
geo_LHC113_AoA_16,2494242.0
geo_LHC045_AoA_6,2006418.0
geo_LHC017_AoA_10,2462150.0
geo_LHC126_AoA_22,2333854.0
geo_LHC018_AoA_22,2330068.0
geo_LHC113_AoA_10,2400036.0
geo_LHC103_AoA_20,2599358.0
geo_LHC017_AoA_16,2587806.0
geo_LHC179_AoA_6,1812172.0
geo_LHC085_AoA_20,2659046.0
geo_LHC118_AoA_12,2471644.0
geo_LHC099_AoA_18,2695710.0
geo_LHC049_AoA_18,2410366.0
geo_LHC034_AoA_6,1926480.0
geo_LHC089_AoA_22,2517466.0
geo_LHC068_AoA_8,2107910.0
geo_F25_AoA_8,2150744.0
geo_LHC049_AoA_4,1625886.0
geo_LHC011_AoA_4,1504992.0
geo_LHC167_AoA_18,2799756.0
geo_LHC096_AoA_12,2519442.0
geo_LHC011_AoA_20,2530244.0
geo_LHC018_AoA_10,2391646.0
geo_LHC154_AoA_4,1545046.0
geo_LHC103_AoA_10,2267776.0
geo_LHC179_AoA_14,2569004.0
geo_LHC118_AoA_4,1699486.0
geo_LHC146_AoA_10,2438678.0
geo_LHC096_AoA_14,2593272.0
geo_LHC018_AoA_14,2614440.0
geo_LHC146_AoA_20,2700454.0
geo_LHC126_AoA_20,2379270.0
geo_LHC126_AoA_8,2260656.0
geo_LHC071_AoA_22,2678892.0
geo_LHC118_AoA_20,2332590.0
geo_F25_AoA_10,2361694.0
geo_LHC146_AoA_4,1731202.0
